Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2021
01001;L'Abergement-Clémenciat;832
01002;L'Abergement-de-Varey;267
01004;Ambérieu-en-Bugey;14854
01005;Ambérieux-en-Dombes;1897
01006;Ambléon;113
01007;Ambronay;2833
01008;Ambutrix;768
01009;Andert-et-Condon;322
01010;Anglefort;1125
01011;Apremont;383
01012;Aranc;327
01013;Arandas;141
01014;Arbent;3409
01015;Arboys en Bugey;667
01016;Arbigny;459
01017;Argis;432
01019;Armix;26
01021;Ars-sur-Formans;1498
01022;Artemare;1177
01023;Asnières-sur-Saône;77
01024;Attignat;3336
01025;Bâgé-Dommartin;4065
01026;Bâgé-le-Châtel;979
01027;Balan;2692
01028;Baneins;621
01029;Beaupont;700
01030;Beauregard;830
01031;Bellignat;3636
01032;Béligneux;3434
01033;Valserhône;16295
01034;Belley;9239
01035;Belleydoux;306
01036;Valromey-sur-Séran;1342
01037;Bénonces;310
01038;Bény;764
01040;Béréziat;480
01041;Bettant;749
01042;Bey;290
01043;Beynost;4877
01044;Billiat;626
01045;Birieux;284
01046;Biziat;904
01047;Blyes;1292
01049;La Boisse;3361
01050;Boissey;386
01051;Bolozon;95
01052;Bouligneux;327
01053;Bourg-en-Bresse;41525
01054;Bourg-Saint-Christophe;1517
01056;Boyeux-Saint-Jérôme;356
01057;Boz;510
01058;Brégnier-Cordon;818
01060;Brénod;518
01061;Brens;1129
01062;Bressolles;978
01063;Brion;576
01064;Briord;1099
01065;Buellas;1851
01066;La Burbanche;95
01067;Ceignes;261
01068;Cerdon;761
01069;Certines;1505
01071;Cessy;5307
01072;Ceyzériat;3285
01073;Ceyzérieu;992
01074;Chalamont;2559
01075;Chaleins;1430
01076;Chaley;124
01077;Challes-la-Montagne;189
01078;Challex;1619
01079;Champagne-en-Valromey;826
01080;Champdor-Corcelles;645
01081;Champfromier;718
01082;Chanay;616
01083;Chaneins;1003
01084;Chanoz-Châtenay;931
01085;La Chapelle-du-Châtelard;394
01087;Charix;279
01088;Charnoz-sur-Ain;898
01089;Château-Gaillard;2287
01090;Châtenay;360
01092;Châtillon-la-Palud;1649
01093;Châtillon-sur-Chalaronne;5059
01094;Chavannes-sur-Reyssouze;767
01095;Nivigne et Suran;832
01096;Chaveyriat;1036
01098;Chazey-Bons;1188
01099;Chazey-sur-Ain;1600
01100;Cheignieu-la-Balme;131
01101;Chevillard;150
01102;Chevroux;973
01103;Chevry;2261
01104;Chézery-Forens;445
01105;Civrieux;1916
01106;Cize;176
01107;Cleyzieu;140
01108;Coligny;1227
01109;Collonges;2249
01110;Colomieu;163
01111;Conand;135
01112;Condamine;473
01113;Condeissiat;815
01114;Confort;685
01115;Confrançon;1348
01116;Contrevoz;493
01117;Conzieu;149
01118;Corbonod;1296
01121;Corlier;117
01123;Cormoranche-sur-Saône;1162
01124;Cormoz;703
01125;Corveissiat;596
01127;Courmangoux;504
01128;Courtes;297
01129;Crans;306
01130;Bresse Vallons;2380
01133;Cressin-Rochefort;389
01134;Crottet;1818
01135;Crozet;2288
01136;Cruzilles-lès-Mépillat;943
01138;Culoz-Béon;3426
01139;Curciat-Dongalon;451
01140;Curtafond;784
01141;Cuzieu;433
01142;Dagneux;4753
01143;Divonne-les-Bains;10137
01145;Dompierre-sur-Veyle;1207
01146;Dompierre-sur-Chalaronne;437
01147;Domsure;526
01148;Dortan;1953
01149;Douvres;1094
01150;Drom;215
01151;Druillat;1139
01152;Échallon;765
01153;Échenevex;2127
01155;Évosges;142
01156;Faramans;877
01157;Fareins;2431
01158;Farges;1058
01159;Feillens;3381
01160;Ferney-Voltaire;10920
01162;Flaxieu;64
01163;Foissiat;2014
01165;Francheleins;1585
01166;Frans;2482
01167;Garnerans;658
01169;Genouilleux;650
01170;Béard-Géovreissiat;1048
01171;Géovreisset;835
01173;Gex;13078
01174;Giron;176
01175;Gorrevod;786
01177;Grand-Corent;184
01179;Grièges;1901
01180;Grilly;864
01181;Groissiat;1230
01183;Guéreins;1495
01184;Hautecourt-Romanèche;758
01185;Plateau d'Hauteville;4807
01187;Haut Valromey;609
01188;Illiat;689
01189;Injoux-Génissiat;1123
01190;Innimond;89
01191;Izenave;155
01192;Izernore;2267
01193;Izieu;222
01194;Jassans-Riottier;6355
01195;Jasseron;1861
01196;Jayat;1259
01197;Journans;380
01198;Joyeux;262
01199;Jujurieux;2124
01200;Labalme;210
01202;Lagnieu;7268
01203;Laiz;1299
01204;Le Poizat-Lalleyriat;746
01206;Lantenay;270
01207;Lapeyrouse;326
01208;Lavours;136
01209;Léaz;817
01210;Lélex;230
01211;Lent;1408
01212;Lescheroux;714
01213;Leyment;1392
01214;Leyssard;163
01215;Surjoux-Lhopital;141
01216;Lhuis;892
01219;Lompnas;163
01224;Loyettes;3381
01225;Lurcy;393
01227;Magnieu;655
01228;Maillat;679
01229;Malafretaz;1214
01230;Mantenay-Montlin;308
01231;Manziat;1955
01232;Marboz;2268
01233;Marchamp;132
01234;Marignieu;167
01235;Marlieux;1182
01236;Marsonnas;1030
01237;Martignat;1671
01238;Massieux;2721
01239;Massignieu-de-Rives;642
01240;Matafelon-Granges;629
01241;Meillonnas;1383
01242;Mérignat;136
01243;Messimy-sur-Saône;1288
01244;Meximieux;8085
01245;Bohas-Meyriat-Rignat;965
01246;Mézériat;2192
01247;Mijoux;297
01248;Mionnay;2227
01249;Miribel;10225
01250;Misérieux;1994
01252;Mogneneins;803
01254;Montagnat;2145
01255;Montagnieu;666
01257;Montanges;350
01258;Montceaux;1198
01259;Montcet;704
01260;Le Montellier;319
01261;Monthieux;682
01262;Montluel;6838
01263;Montmerle-sur-Saône;3792
01264;Montracol;1008
01265;Montréal-la-Cluse;3541
01266;Montrevel-en-Bresse;2578
01267;Nurieux-Volognat;990
01268;Murs-et-Gélignieux;240
01269;Nantua;3449
01272;Neuville-les-Dames;1515
01273;Neuville-sur-Ain;1799
01274;Les Neyrolles;632
01275;Neyron;2538
01276;Niévroz;1634
01277;Nivollet-Montgriffon;115
01279;Oncieu;73
01280;Ordonnaz;141
01281;Ornex;4690
