Région,Department,Commune,INSEE,Adresse,Nomination,Département,Description_historique,Auteur,Description,latitude,longitude,Site
Auvergne-Rhône-Alpes,26.0,Donzère;La Garde-Adhémart,26116,Route départementale 358 ; Pierrelatte (route de),pont à hauban dit pont Albert-Caquot,Drôme,"Le pont a été construit par Albert Caquot sur le canal de dérivation du Rhône. Il se situe sur la route de Pierrelatte, à la Garde Adhémar et permet de relier Donzère à Viviers ou Bourg-Saint-Andéol en Ardèche. Il s'agit du premier pont à haubans métalliques. En effet, la technique des ponts suspendus à des câbles cède ici la place au pont à haubans, dont l'ingénieur Albert Caquot sera l'un des précurseurs grâce à la construction du pont de Donzère. Ce type de construction a été choisi car les rives étant basses, il fallait placer les organes porteurs au-dessus du tablier. La construction du pont débuta en 1950 ; il fut mis en service le 22 juillet 1952. C'est l'entreprise Monod, qui avait déjà travaillé avec Albert Caquot en 1948 lors de la construction du pont de la Jonnelière sur !'Erdre à Nantes, qui se chargea de sa réalisation. Avec la construction de ce pont, c'est le début à la fois de la technique de la construction en encorbellement, qui était classique à l'époque, et des ponts à tablier en béton avec haubans rigides, méthode et technique qui furent largement appliquées depuis. Malgré cela, le Service Central d'Etudes Techniques du Ministère des Travaux Publics lui réserva un accueil plutôt négatif.",Caquot Albert (architecte),"Pont d'une seule voie constitué par deux tabliers en console portés par des haubans métalliques. Ouvrage mesurant 160 mètres de long, porté par deux piles en béton armé distantes de 77 mètres, recevant la retombée de deux voûtes successives. Les piles portent chacune deux pylônes de part et d'autre du tablier. Tablier en béton armé reposant sur deux poutres de rigidité, de hauteur constante, dont la partie supérieure constitue le garde-corps. Chacune de ces poutres est supportée à intervalles réguliers par des haubans qui transfèrent la charge au sommet des pylônes. Eléments tendus en acier ; éléments comprimés en béton.",44.44424,4.71027,Site architectural
Auvergne-Rhône-Alpes,26.0,Chapelle-en-Vercors (La),26074,0,ferme dite Les Aubaneaux,Drôme,"Suite aux bombardements, pillage et incendie de la commune de La-Chapelle-en-Vercors en 1944, un plan de reconstruction de la commune réalisé par les architectes Sabatou puis Descottes-Genon, a été mis en place. Il prévoyait d’une part la reconstruction du bourg et d’autre part celle des fermes éparpillées dans les différents hameaux. Cela a été l’occasion d’apporter un certain confort dans ces habitations rurales (eau courante, toilette, douche…), mais également de moderniser les exploitations agricoles. Dans le Vercors, 300 fermes ont été entièrement reconstruites tandis que 400 autres ont été réhabilitées. La ferme des Aubaneaux dite Ferme modèle a été construite en 1949. Aujourd’hui, les modifications de 1959 apportées aux fermes, ne répondent plus à la demande des agriculteurs qui souhaiteraient soit s’agrandir, soit mettre un terme à leur activité.",Descottes-Genon Marcel (architecte);Sabatou Jean-Pierre (architecte),"La ferme des Aubaneaux a été reconstruite en adoptant le même volume que le bâtiment initial. Un parement de pierre permet de conserver l’aspect d’origine de la ferme. Les changements sont intervenus essentiellement sur l’organisation intérieure. L’exploitation et l’habitation sont sous le même toit mais n’ont plus de communication directe : à l’étage, un mur coupe-feu en béton sépare la grange des chambres. Au rez-de-chaussée, une buanderie assure la communication entre la pièce commune et l’étable. Le ciment et le béton ont été largement utilisés dans l’étable et pour la grange aussi afin de prévenir les risques d’incendie. Dans la partie habitation, la pièce commune est divisée en deux : une partie cuisine et une partie salle à manger. Cette dernière est coupée de l’extérieur par un petit sas d’entrée. L’eau courante a été amenée afin de remplacer les citernes ou fontaines tandis que des sanitaires (lavabos, douches) ont été aménagés. Chaque pièce est désormais éclairée par de nombreuses et larges fenêtres.",44.974803,5.40436,Site architectural
Auvergne-Rhône-Alpes,74.0,Annecy,74010,"Lycée (boulevard du) 3 bis, 5, 7 ; Francs-Tireurs (avenue des) 1bis, 1ter, 7bis","ensemble de trois immeubles, dit Résidence La Forclaz",Haute-Savoie,"Ensemble de trois immeubles de logements dits ""Résidence La Forclaz"" construit en 1963-1965 par l'architecte Robert Cottard, le mosaïste Robert Charlier et le promoteur Marcel Fournier.",Cottard Robert (architecte);Charlier Robert (mosaïste);Fournier Marcel (promoteur),"Il s’agit d’un ensemble de 3 immeubles formant un bloc. Signe de la modernité, ils sont construits sur pilotis ce qui permet d’aménager des entrées aérées mais également de dégager la vue sur la cour. La fonction résidentielle ne s’exprime en façade que sur l’un des corps de bâtiment au moyen d’un jeu de balcons et d’avancées traités en tiroirs et soulignés par un encadrement. Les autres façades sont équipées de murs rideaux. Les pignons ne sont pas tous aveugles. Certains sont traités comme des façades ouvertes, par conséquent les murs au droit (en retour sur la façade principale) sont aveugles.",45.9058277995876,6.124396526131411,Site architectural
Auvergne-Rhône-Alpes,74.0,Cluses,74081,Sardagne (avenue de ),cité de La Sardagne,Haute-Savoie,0,Novarina Maurice (architecte);Plottier Richard (architecte),0,0.0,0.0,Site architectural
Auvergne-Rhône-Alpes,26.0,Valence,26362,Victor Hugo (avenue) 378,station-service Relais du Sud,Drôme,"La station service « le Relais du Sud » a été construite en 1937 selon les plans de l’architecte Henri Garin. Elle est située à l’entrée de la ville, le long de l’ancien tracé de la RN 7, au carrefour des avenues Victor Hugo et Maurice Faure. Par son emplacement et son architecture imposante, elle est très représentative des stations essences construites dans les années 1930/1950, le long des importantes voies de communication. L’architecture a été pensée selon la fonction de l’édifice : imposante, visible de loin, pratique. De plus, le vocabulaire utilisé fait référence à maintes reprises au monde de l’industrie automobile, à celui de la route et du transport. Aujourd’hui, l’exploitation des parties station-essence et garage de réparation automobile a cessé.",Garin Henri,"Le bâtiment principal de la station service, construit en béton, est d’une facture classique, il abrite le bar, le restaurant et l’hôtel. Il s’élève sur trois niveaux (rez-de-chaussée et 2 étages carrés) et est couvert d’un toit terrasse. La partie centrale, au-dessus de la porte d’entrée, est légèrement en saillie et sert d’axe de symétrie à la façade. De part et d’autre, cette dernière est percée de 2 fenêtres aux niveaux supérieurs. La partie en saillie est rythmée par des pilastres plats en béton armé sans base ni chapiteau. L’entrée est précédée d’un long auvent terminé en forme de proue. Cette référence à l’architecture aéronavale est renforcée par l’emploi de hublots dans la partie inférieure de cette « proue de navire ». L’extrémité est surmontée par une flèche-signal à ailettes. La couleur blanche utilisée pour l’enduit accroche la lumière et par-là même le regard. La station service disposait également d’un garage de réparation automobile.",44.913098,4.884487,Site architectural
Auvergne-Rhône-Alpes,74.0,Annecy,74010,Genève (avenue) 26,Église Saint-Joseph-des-Fins,Haute-Savoie,"Cette église a été édifiée entre 1937 et 1941 par un moine bénédictin, Dom Bellot avec la collaboration de deux architectes F. Béranger et J. Philippe sur la demande du curé Marie-Amédée Folliet. Le presbytère a été réalisé par J. Fluckiger. L’église fut consacrée le 1er mai 1962, et obtint l’honneur d’être élevée au rang de basilique mineure en juillet 1964. Elle possède, comme la paroisse Sainte-Bernadette, une capacité d’accueil de mille places. L’originalité de l’art de Dom Bellot est de s’inspirer de l’art roman tout en appliquant les possibilités qu’offrent les nouveaux matériaux comme le béton armé. L’église garde une allure régionale par le traitement de ses façades en pierre du pays tout comme par sa toiture débordante, agrémentée de tuiles vernissées de couleurs. Mais l’architecture ne constitue pas le seul intérêt de cette église qui a fait l’objet d’un programme complet de décoration faisant appel aux savoir-faire de nombreux artistes pour le traitement des vitraux, des fresques, des sculptures et des mosaïques. La construction de l'église Saint-Joseph-des-Fins accompagne la croissance de la ville d'Annecy vers le nord, suivant la marche d'une urbanisation aérée et encore conventionnelle. On retrouve cette tendance dans l'ornementation de cette église, marquée par des réminiscences pittoresques voire typiquement "" art and craft "", comme on en trouve à Vongy, ou encore à Assy (Haute-Savoie).",Dom Bellot Paul (architecte);Béranger F. (architecte);Philippe J. (architecte);Fluckiger F. (architecte),"Cette église, inspirée de l’art roman est tout de même réalisée avec les matériaux de l’époque : béton et métal. La toiture débordante agrémentée de tuiles vernissées de couleurs ainsi que le clocher à bulbe confère à l’édifice une allure empreinte de régionalisme. L’ossature en béton est recouverte d’un parement en pierre du pays. A l’intérieur, la nef est rythmée par des arcs doubleaux en béton ajourés, aux lignes brisées. Les voûtes sont constituées de segments brisés. L’arc triomphal, orné d’une peinture monumentale, décrit une ligne parabolique. Les fenêtres ont des arcs en mitre. Le décor de l’édifice est très riche, il est constitué de vitraux, de fresques, de sculptures et de mosaïques.",45.9124509106193,6.12419160957344,Site architectural
Auvergne-Rhône-Alpes,74.0,Annecy,74010,France (avenue de)  ; Novel (avenue de) ; Maquis (rue des),"immeubles de la zone d'urbanisation prioritaire dite, ZUP de Novel",Haute-Savoie,"Préoccupée par la croissance démographique, la municipalité s’inquiétait depuis longtemps du problème du parc des logements, lorsqu’elle saisit l’opportunité de la création des Zones à Urbaniser en Priorité (Z.U.P.) lancées en 1958. Elle choisit d’implanter ces nouveaux ensembles immobiliers dans les secteurs de Teppes et de Novel, dans la plaine de Fins, sur un terrain de 34 hectares partiellement occupé par le camp militaire du 27e bataillon de Chasseurs Alpins. Ce sera une des premières ZUP à être réalisée. Les travaux s’échelonnèrent de 1962 à 1979 sous la direction de l’architecte Maurice Novarina, assisté de Jacques Lévy. Les travaux commencent par le secteur sud, puis le secteur nord pour terminer par le centre. Il s’agit d’un ensemble de forte densité abritant 369 logements H.L.M. et des équipements publics dont une bibliothèque, une mini-crèche, un centre PMI, une salle polyvalente, une salle de musique, une poste, un foyer pour personnes âgées, un hôtel et des boutiques en rez-de-chaussée. Ces équipements sont des points de repères important pour l’ancienne et la nouvelle population. A noter que cette mixité des destinations devance de plusieurs dizaines d’années un des grands principes de la loi SRU.",Novarina Maurice (architecte);Lévy Jacques (architecte),"La composition urbaine est organisée autour d’une dalle piétonne plantée, conçue comme un axe de liaison et un lieu de relations et d’échanges. Les bâtiments d’un gabarit important sans rapport de continuité avec la rue sont d’une architecture contemporaine et sobre. Les logements, en duplex, sont distribués par des coursives conçues comme des rues. On peut y recenser deux groupes de tours de 14 à 17 étages, certaines reliées par des passerelles vitrées. Les façades s’animent de balcons en saillie et de grandes baies vitrées. La mixité des destinations se fait en rez-de-chaussée. Mais une des qualités de cette cité repose sur le travail des espaces : placette, larges allées, dallées et espaces végétalisés. Cette configuration donne, malgré la hauteur des bâtiments un sentiment de quartier aéré qui s’intègre à son environnement urbain et au grand paysage qui l’entoure.",45.9186847148352,6.12943900345045,Site architectural
Auvergne-Rhône-Alpes,74.0,0,74014,station de sports d'hiver de Flaine,gare inférieure du téléphérique des Grandes-Platières,Haute-Savoie,"Implantée à proximité des maisons d’alpage du Michet, en limite du domaine skiable, et terminant la composition de la station Flaine-Forum partagée entre les communes de Magland et Arâches-la-Frasse, la gare inférieure du téléphérique des Grandes-Platrières a été dessinée sur les plans de l’architecte genevois Gérard Chervaz en 1963. Les exigences imposées par le maître d’ouvrage (la SEPAD et Eric Boissonnas, créateur de la station), qui souhaite une gare accessible de plain-pied, ont déterminé la forme du volume. Commencés en 1963, les travaux sont achevés en 1967, après une interruption de deux ans. En 1973, la gare est agrandie : un bar restaurant et des bureaux sont accolés au volume d’origine selon un traitement identique. En 1984, la SEPAD décide de remplacer le système du téléphérique par des télécabines afin d’augmenter le débit. Elle fait appel à l’ingénieur téléphériste Denis Creissels, inventeur du système débrayable DMC (double mono-câbles) et à l’architecte Yves de Préval pour adapter les gares inférieure et supérieure à la nouvelle technique. Un portique est ajouté dans le prolongement immédiat du bâtiment de la gare inférieure pour fixer les lanceurs et les systèmes de freinage.",Chervaz Gérard (architecte);Creissels Denis (ingénieur),"La gare, qui ne comporte qu’un rez-de-chaussée, comprend l’espace d’accueil et les quais d’embarquement, dont l’accessibilité de plain-pied a été assurée par l’enfouissement des contrepoids et des moteurs. Les quais sont couverts par une dalle en béton armé, reposant sur huit piliers, et inclinée vers l'amont. L’espace du hall et des services annexes est éclairé par de grandes baies vitrées et présente une toiture en béton armé avec porte-à-faux formant un auvent extérieur, mettant les skieurs à l’abri des intempéries.",46.0045834377615,6.69609431368296,Site architectural
Auvergne-Rhône-Alpes,74.0,Neuvecelle,74200,Léman (avenue du) 720,"""maison dite """"Maison à Pélo Ben""""""",Haute-Savoie,"Appelée également Villa Escoubès, la « maison à Pélo Ben » est construite dans les années 1960 par l’architecte savoyard Maurice Novarina pour l’un de ses amis, Jean Escoubès. Médecin, il s’installe à Évian comme chirurgien en 1937. Ancien président du comité de Libération d’Évian, c’est aussi un passionné d’architecture et un amoureux du lac Léman, raison pour laquelle il souhaite que la maison soit bâtie à cette emplacement. Le parc, qui domine le lac, est ensuite découpé en différentes parcelles constructibles par ses héritiers.",Novarina Maurice (architecte),"Cette villa de 400m2 s'inscrit parfaitement dans la pente qui descend vers le lac Léman qu’elle surplombe. Bâtie en béton armé avec une toiture-terrasse à deux pans légèrement inclinés, elle associe également métal, pierre et bois. Elle présente deux rez-de-jardin, l'un au sud avec un jardin intérieur, l'autre au nord, face au lac. Elle dispose d’un patio intérieur, d’un large balcon filant, et de deux grandes salles de séjour faisant face au lac. Les intérieurs sont également pensés par l’architecte, qui vient unifier l’ensemble en utilisant les mêmes matériaux. C’est ainsi que l’on retrouve du bois pour le mobilier et certains murs ou plafonds, et de la pierre taillée pour les cheminées. Le salon possède un mobilier moderne classique, avec un design signé par Novarina, Le Corbusier et Achille Castiglioni.",0.0,0.0,Site architectural
Auvergne-Rhône-Alpes,38.0,Allevard-les-Bains,38006,Les Thermes,Bâtiment thermal Jules-Louis Chardon,Isère,"A la fin du XVIIIème siècle sont découvertes à Allevard, suite à un tremblement de terre des eaux sulfureuses (appelée à l'époque« eaux noires). C'est le début du thermalisme qui se développe dans le village au cours du XIXème siècle avec l'invention de nouveaux traitements. La réputation des eaux d'Allevard se propage rapidement dans les milieux médicaux. Après avoir soigné les rhumatismes et les maladies de peau, la station se spécialise dans le traitement des voies respiratoires. Un nouveau bâtiment contenant sept salles d'inhalation est construit en 1870. La construction des thermes Jules Louis Chardon s'impose en raison de l'afflux des curistes des classes moyennes et populaires et du développement intensif des cures pour enfant. Le nom du bâtiment est celui du président de la Société générale des eaux minérales et bains de mer, propriétaire de la station de l'époque. Le nombre de curistes passe entre 1958 et 1962 de 3 000 à 12 000 par an. La construction des nouveaux thermes est confiée à l'architecte grenoblois Jocteur Monrozier, qui s'inspire du musée des Colonies de la Porte Dorée à Paris d'Albert Laprade, qui va en superviser l'exécution en accentuant fortement son style. La mairie d'Allevard propriétaire actuel des bâtiments, a un projet de création d'un musée de la voix et de la chanson française dans le bâtiment Jules Louis Chardon.",Monrozier Jocteur,"Le bâtiment est situé en bordure d'un parc, à l'emplacement de la villa-chalet Saint-Charles, à proximité de deux hôtels de la fin du XIXe siècle. Il présente une symétrie presque parfaite et laisse paraître la structure porteuse dans laquelle s'inscrivent les vitrages des différents locaux. D'aspect sobre, l'édifice est composé sur un plan classique et fonctionnel avec un corps central précédé d'un portique de trois travées qui donne sur le hall qui distribue les salles de soins situées en arrière. Une galerie extérieure prolonge le bâtiment tourné vers le parc. Une imposante verrière surmonte le hall d'entrée, apportant ainsi une grande luminosité. Une grande fresque, réalisée par Françoise Boudet, Premier Grand Prix de Rome en 1950, orne le hall. Cet édifice témoigne de l'intérêt porté aux stations thermales par les médecins de l'époque. Son architecture s'harmonise avec sa fonction avec un bâtiment tout en longueur rehaussé par la luminosité de ses verrières. La fresque du grand hall parachève la composition.",45.3920524442597,6.07478846949549,Site architectural
