"idBank";"Dernière mise à jour";"Périodicité";"Nature";"Unité";"Zone géographique";"Puissance";"Indicateur";"Correction";"Sexe";"Âge";"Catalogue d'indicateurs démographiques";"Série arrêtée"
"001641607";"29/11/2024 12:00";"Mensuelle";"Valeur absolue";"individus";"France";"3";"Population au début du mois";"Non corrigé";"Sans objet";"Sans objet";"Population au début de la période";"non"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
