Source,Nom,Adresse,Code Postal,Ville,code_insee,Catégorie,Label et appellation,Région,Domaine,Latitude,Longitude
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque de GAMARde,348 rue abbe bordes,40380.0,Gamarde-les-Bains,40104,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.7325530845461,-0.873206140912455
Ministère de la Culture - Service du livre et de la lecture,Médiathèque de GRENAde-SUR-L'ADOUR,32 rue des capucins,40270.0,Grenade-sur-l'Adour,40117,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.772152205146,-0.429404631079996
Ministère de la Culture - Service du livre et de la lecture,LUDO-Bibliothèque MUNICIPALE de LABENNE,14 rue du presbytere,40530.0,Labenne,40133,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.5959632032077,-1.42775664273915
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque MUNICIPALE de LABOUHEYRE,46 rue françois mitterrand,40210.0,Labouheyre,40134,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,44.2133421363569,-0.918764424591646
Ministère de la Culture - Service du livre et de la lecture,Médiathèque de LABRIT,30 route de luxey,40420.0,Labrit,40135,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,44.1050991899747,-0.545001121981277
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque de LESGOR,route de carcen,40400.0,Lesgor,40151,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.8533295747801,-0.900874551760323
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque MUNICIPALE de LIT-ET-MIXE,93 rue de l'hotel de ville,40170.0,Lit-et-Mixe,40157,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,44.033846938829,-1.25829793995005
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque MUNICIPALE de LOSSE,le bourg,40240.0,Losse,40158,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,44.1093773706474,-0.100829757197195
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque MUNICIPALE de MEES,87 rue des écoles,40990.0,Mées,40179,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.7039216136948,-1.11107963302832
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque MUNICIPALE de PARENTIS-EN-BORN,76 avenue du 11 novembre,40160.0,Parentis-en-Born,40217,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,44.3489977841838,-1.07353658593344
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque de POUYdesSEAUX,90  avenue de l'eglise,40120.0,Pouydesseaux,40234,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.9688617383422,-0.328424909630649
Ministère de la Culture - Service du livre et de la lecture,Médiathèque de SAINT-JEAN-de-MARSACQ,190 route du cricq,40230.0,Saint-Jean-de-Marsacq,40264,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.6246815703258,-1.25816724378708
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque MUNICIPALE de SAINT-JULIEN-EN-BORN,93 route de casteja,40170.0,Saint-Julien-en-Born,40266,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,44.0625571759172,-1.22470173403431
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque MUNICIPALE de SAINT-LON-LES-MINES,route de la payolle,40300.0,Saint-Lon-les-Mines,40269,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.614009,-1.12589
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque de SAINT-MARTIN-D'ONEY,le bourg,40090.0,Saint-Martin-d'Oney,40274,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.9279235746468,-0.640331963336204
Ministère de la Culture - Service du livre et de la lecture,Médiathèque MUNICIPALE de SAUBRIGUES,116 place de la mairie,40230.0,Saubrigues,40292,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.6112497130833,-1.31466460860019
Ministère de la Culture - Service du livre et de la lecture,Bibliothèque de SORE,place de la mairie,40430.0,Sore,40307,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,44.3234814370295,-0.581217163701525
Ministère de la Culture - Service du livre et de la lecture,Médiathèque MUNICIPALE,places des arènes,40140.0,Soustons,40310,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.75507,-1.335264
Ministère de la Culture - Service du livre et de la lecture,Médiathèque MUNICIPALE de TARNOS,1 rue du fils,40220.0,Tarnos,40312,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.5413580372718,-1.46012492436431
Ministère de la Culture - Service du livre et de la lecture,Médiathèque MUNICIPALE de VIEUX-BOUCAU-LES-BAINS,place de la mairie,40480.0,Vieux-Boucau-les-Bains,40328,Bibliothèque,,Nouvelle-Aquitaine,Lecture publique,43.7861644519139,-1.40103489265675
