IRIS,Taux de pauvreté,Nom IRIS,Commune,geometry
381850102,18.0,Jean Macé,Grenoble,"POLYGON ((5.698869586747465 45.208610482032135, 5.702105802746155 45.20750873771934, 5.703665723117503 45.20695473355787, 5.70508838346996 45.2064355656153, 5.706240432919772 45.205960778077305, 5.7068901012254125 45.205744118108804, 5.707701512365789 45.20555146146597, 5.70872397410128 45.205322145675126, 5.709353065782934 45.205180749105786, 5.709838878251429 45.205054538757096, 5.7101858053647225 45.20492899465942, 5.710482692396785 45.20479655566455, 5.710828572339831 45.204623284502894, 5.7110852129564895 45.20444947626069, 5.713140575761398 45.20297514502435, 5.7136550625746985 45.20257433122802, 5.713937726485574 45.20230708549171, 5.714478208254644 45.201733553909065, 5.71477246098081 45.20139034415979, 5.715033975361194 45.200976754486824, 5.715192810393528 45.200679181327054, 5.715273068336579 45.20046910945995, 5.715402593382187 45.2000668373932, 5.715464945323512 45.199829271366575, 5.7154712774932825 45.19972370594288, 5.715458210660125 45.199612305692604, 5.715407900263494 45.198945022916796, 5.715091613165983 45.196870616006734, 5.715087513369093 45.19628870109671, 5.715345909141919 45.195287766103775, 5.715738503631962 45.194661965403256, 5.716277705217059 45.19411638446646, 5.716826625869665 45.19371832024746, 5.71774145865564 45.1932987320095, 5.718742023458522 45.192991468931446, 5.719607361210716 45.19283795029598, 5.720384845180219 45.19231987811474, 5.72034793866445 45.192294649892965, 5.72030681876718 45.19228754338948, 5.720188549041183 45.192292227380854, 5.719952404230186 45.19230969394284, 5.715420538090458 45.1912433841881, 5.715370335995059 45.19123289303337, 5.715314514983207 45.19123785469431, 5.715022529562158 45.19180985274494, 5.714265389721206 45.19345448073336, 5.713443236787477 45.19520429267366, 5.712333806889955 45.19628806806768, 5.711466124174501 45.1978110297984, 5.711177518742077 45.19845410981442, 5.710881048197408 45.19888295383405, 5.7096341813536995 45.19866095729261, 5.709408736222284 45.19858444239955, 5.7092842309393825 45.198539713607936, 5.709252722379513 45.19852065735682, 5.709228501190746 45.19849421665682, 5.709196736435206 45.198443633376314, 5.708617242372595 45.198896456785654, 5.70805991385408 45.19930729568598, 5.707103834776407 45.20003592569273, 5.705430076249085 45.201312599023446, 5.704034018774221 45.20237800522691, 5.701691914428178 45.204172631960766, 5.699488022918192 45.20595575666328, 5.69730637158326 45.207753614023204, 5.696108492027054 45.20865375920077, 5.69598672159441 45.208744992066045, 5.69586367771223 45.208836255535786, 5.6957379568855755 45.20892488064978, 5.695608242587667 45.20900999823462, 5.695475851356392 45.20909247744202, 5.695340696254505 45.20917051846866, 5.695200144240648 45.209242382966046, 5.69505810146391 45.20930977852903, 5.694912152220506 45.209375466291945, 5.694762122658229 45.20943584665094, 5.694608143188167 45.20949361928091, 5.6944475373087275 45.209546145912206, 5.694118599311407 45.209649582982244, 5.693951323010543 45.209695963197184, 5.6937813264956105 45.20973880499516, 5.693609839422231 45.209777177756365, 5.693436861828522 45.20981108147379, 5.6932637537073365 45.20984228523025, 5.693089198570667 45.20986991983099, 5.692740044348066 45.209924288316685, 5.69256540183979 45.20995012230341, 5.692389355815124 45.209973287018585, 5.691857310787624 45.210041071772686, 5.691500038279366 45.2100857216405, 5.691143777852171 45.21012494029249, 5.6909633906067665 45.21013739602197, 5.690785940043907 45.210157889194456, 5.690608532747305 45.21017928198409, 5.690432441794033 45.21020154371752, 5.689762406569268 45.210288860004354, 5.688622552282191 45.21046586740302, 5.6883101796290525 45.2105166334112, 5.687341620909838 45.21067779126165, 5.686892791242704 45.210753459765066, 5.6853121405127816 45.21117348163295, 5.685185964568756 45.211253095903686, 5.685007271376571 45.21161867066719, 5.684984225803634 45.21174896052807, 5.685032171431559 45.21173879827039, 5.68522637008096 45.21169538810193, 5.688485802982317 45.21098720259767, 5.69071534045258 45.21064970428876, 5.69294489439289 45.210313061405, 5.695175651045029 45.209975443422714, 5.698869586747465 45.208610482032135))"
381850103,16.7,Europole,Grenoble,"POLYGON ((5.703190852556995 45.19257539821455, 5.7031885251318455 45.19257995930462, 5.707757146303249 45.192358416742294, 5.7101996454696256 45.19427222086695, 5.710357100634524 45.196464912544776, 5.7098896548331926 45.197466403809315, 5.70959515152432 45.19790961165005, 5.709225012054683 45.198396097833644, 5.709196736435206 45.198443633376314, 5.709228501190746 45.19849421665682, 5.709252722379513 45.19852065735682, 5.7092842309393825 45.198539713607936, 5.709408736222284 45.19858444239955, 5.7096341813536995 45.19866095729261, 5.710881048197408 45.19888295383405, 5.711177518742077 45.19845410981442, 5.711466124174501 45.1978110297984, 5.712333806889955 45.19628806806768, 5.713443236787477 45.19520429267366, 5.714265389721206 45.19345448073336, 5.715022529562158 45.19180985274494, 5.715314514983207 45.19123785469431, 5.715370335995059 45.19123289303337, 5.715593753719393 45.19079680372181, 5.715798513744934 45.190396304926495, 5.715760976251963 45.19014855587791, 5.715749087675711 45.190113708054504, 5.715713465821486 45.190010064463436, 5.715762163611494 45.18930884129455, 5.715814271935475 45.189122878697916, 5.715784613865768 45.189063236622566, 5.715643017595995 45.18895496377293, 5.715605677617736 45.188920735153836, 5.715559301142574 45.188857895963515, 5.715592236332294 45.188644470492065, 5.715650929259324 45.18843672500274, 5.715728792229127 45.188282570076716, 5.715644933830462 45.18828731316723, 5.715573713575673 45.18828994682721, 5.71553558019201 45.188291775501476, 5.7154847968889095 45.18840022399952, 5.715254930203931 45.18852023652954, 5.715097077439506 45.188601557968184, 5.714114475780195 45.1892245860245, 5.713858439632767 45.18940919927047, 5.713041078775582 45.18999846845627, 5.711440812000885 45.19086442262644, 5.7104187891383 45.19093969640929, 5.70965331203806 45.19099792221487, 5.7079764359817835 45.19112690749539, 5.707117171031231 45.191195499499, 5.706893397095058 45.191231558332156, 5.706749799498251 45.19126567260849, 5.706586493985593 45.19131377875547, 5.706197820490078 45.19144392901127, 5.705305577507407 45.19185746800049, 5.704671399829011 45.19215393076612, 5.704390944652337 45.19225622592307, 5.704180144780392 45.19232349798435, 5.70400121311225 45.19236477120082, 5.703845895206768 45.19239375986212, 5.703641561675897 45.19241042127248, 5.703366097699477 45.19240538032352, 5.703302359608418 45.19245737684833, 5.703190852556995 45.19257539821455))"
381850104,12.1,Diderot,Grenoble,"POLYGON ((5.704671399829011 45.19215393076612, 5.705305577507407 45.19185746800049, 5.706197820490078 45.19144392901127, 5.706586493985593 45.19131377875547, 5.706749799498251 45.19126567260849, 5.706893397095058 45.191231558332156, 5.707117171031231 45.191195499499, 5.7079764359817835 45.19112690749539, 5.70965331203806 45.19099792221487, 5.7104187891383 45.19093969640929, 5.711440812000885 45.19086442262644, 5.713041078775582 45.18999846845627, 5.713858439632767 45.18940919927047, 5.71288071477916 45.189268092437246, 5.711972414493251 45.18913970563468, 5.711215901474725 45.18904095995273, 5.706412642237184 45.188858409390846, 5.705874598225508 45.18887685928795, 5.704819611966716 45.18892855602528, 5.703339437765568 45.189013965587186, 5.702664290507216 45.18906905528128, 5.7016257166190805 45.189223031993265, 5.7016308552258685 45.18969770549556, 5.7017296666341695 45.19242337565474, 5.701729797320195 45.19242607532787, 5.702280333093423 45.1924280656014, 5.703213812824761 45.19241807761627, 5.703366097699477 45.19240538032352, 5.703641561675897 45.19241042127248, 5.703845895206768 45.19239375986212, 5.70400121311225 45.19236477120082, 5.704180144780392 45.19232349798435, 5.704390944652337 45.19225622592307, 5.704671399829011 45.19215393076612))"
381850105,,Gare,Grenoble,"POLYGON ((5.7203094134 45.19207936011034, 5.720193962877517 45.19172359441769, 5.72012528988951 45.19151714784856, 5.720083515884498 45.19139203245874, 5.720042092916678 45.19127411612597, 5.719926380916868 45.19096520618831, 5.719758889162065 45.19061341116159, 5.7195386188642985 45.18998901246153, 5.71938302878988 45.18954142622939, 5.718925372767511 45.18961474044746, 5.717743115021433 45.189800297162826, 5.716608872684068 45.18982069960638, 5.716527703363804 45.189671315306114, 5.716185273033802 45.18936341474183, 5.715950874329229 45.1891546920877, 5.715814271935475 45.189122878697916, 5.715762163611494 45.18930884129455, 5.715713465821486 45.190010064463436, 5.715749087675711 45.190113708054504, 5.715760976251963 45.19014855587791, 5.715798513744934 45.190396304926495, 5.715593753719393 45.19079680372181, 5.715370335995059 45.19123289303337, 5.715420538090458 45.1912433841881, 5.719952404230186 45.19230969394284, 5.720188549041183 45.192292227380854, 5.72030681876718 45.19228754338948, 5.72034793866445 45.192294649892965, 5.720327489041451 45.19226721871001, 5.720320643939927 45.19223134741682, 5.72033732143298 45.19218138860082, 5.720330388612494 45.192143717541505, 5.7203094134 45.19207936011034))"
381850106,22.6,Cours Berriat,Grenoble,"POLYGON ((5.7093027000225325 45.18737110866366, 5.708245331263784 45.187425599186554, 5.7074066222051 45.18747027138555, 5.706329106923138 45.18752973707034, 5.705848820785069 45.187556697141055, 5.705877184502877 45.18811549705773, 5.705901963096138 45.18878429940309, 5.705874598225508 45.18887685928795, 5.706412642237184 45.188858409390846, 5.711215901474725 45.18904095995273, 5.711972414493251 45.18913970563468, 5.71288071477916 45.189268092437246, 5.713858439632767 45.18940919927047, 5.714114475780195 45.1892245860245, 5.715097077439506 45.188601557968184, 5.715254930203931 45.18852023652954, 5.7154847968889095 45.18840022399952, 5.71553558019201 45.188291775501476, 5.715494901661308 45.18829366608069, 5.715372822274011 45.18829843784447, 5.712591511600289 45.18777414010605, 5.712503861617535 45.1873600318915, 5.711565368352845 45.187422476405935, 5.710302889230153 45.18731979840749, 5.7093027000225325 45.18737110866366))"
381850107,16.7,Gabriel Péri,Grenoble,"POLYGON ((5.715728792229127 45.188282570076716, 5.715650929259324 45.18843672500274, 5.715592236332294 45.188644470492065, 5.715559301142574 45.188857895963515, 5.715605677617736 45.188920735153836, 5.715643017595995 45.18895496377293, 5.715784613865768 45.189063236622566, 5.715814271935475 45.189122878697916, 5.715950874329229 45.1891546920877, 5.716185273033802 45.18936341474183, 5.716527703363804 45.189671315306114, 5.716608872684068 45.18982069960638, 5.717743115021433 45.189800297162826, 5.718925372767511 45.18961474044746, 5.71938302878988 45.18954142622939, 5.719239990546089 45.18911605789915, 5.718907280558949 45.18814482848188, 5.718873014333088 45.18804295471337, 5.718766004236198 45.18772932739655, 5.718180477036852 45.185987634904606, 5.718141782413406 45.18587325556338, 5.718026312963766 45.18554271584285, 5.717848636621313 45.185033500792706, 5.717697371401963 45.184621846063465, 5.717667452752608 45.18453067765176, 5.717638719059887 45.184437678484116, 5.717544543449565 45.18459673679657, 5.7171288022754565 45.18553033208012, 5.717079384697032 45.18564055002602, 5.716953558802256 45.185908492258264, 5.716769755671482 45.18629406807961, 5.716332489520133 45.18720475934023, 5.716109622710674 45.18759939316309, 5.715913224850774 45.18788346656472, 5.71584524251431 45.18797881947489, 5.715732084531486 45.18827167857491, 5.715728792229127 45.188282570076716))"
381850108,17.9,Berriat-Ampère,Grenoble,"POLYGON ((5.705680231134098 45.184657036123994, 5.70575522414113 45.18602015060995, 5.705792530060873 45.186605761916894, 5.705820814085212 45.18697896878283, 5.705848820785069 45.187556697141055, 5.706329106923138 45.18752973707034, 5.7074066222051 45.18747027138555, 5.708245331263784 45.187425599186554, 5.7093027000225325 45.18737110866366, 5.710302889230153 45.18731979840749, 5.711565368352845 45.187422476405935, 5.712503861617535 45.1873600318915, 5.712470232838877 45.18719237173902, 5.712185791650278 45.185691096268954, 5.711886278954718 45.1856362084091, 5.711451462671817 45.18547108732256, 5.710796831732865 45.185213100197934, 5.710081531032336 45.18491243611277, 5.710026819100172 45.184887637082085, 5.709824557985872 45.18478893895397, 5.709559869465335 45.18463769918484, 5.709283779495555 45.18446150907732, 5.709140448680011 45.18436948782701, 5.707838916581417 45.18403799048273, 5.706923015597119 45.18414489633304, 5.7056614672959896 45.184296211919374, 5.705680231134098 45.184657036123994))"
381850109,17.1,Saint-Bruno,Grenoble,"POLYGON ((5.716769755671482 45.18629406807961, 5.716953558802256 45.185908492258264, 5.717079384697032 45.18564055002602, 5.7171288022754565 45.18553033208012, 5.717544543449565 45.18459673679657, 5.717638719059887 45.184437678484116, 5.717503035350581 45.18400582333294, 5.71725132416398 45.183231729227536, 5.717160738511098 45.18296725350992, 5.716641141498137 45.183442088951274, 5.714335209058036 45.18391262834159, 5.712946246914112 45.18416803156632, 5.711852380872206 45.18428290743779, 5.711914686442229 45.18454266842951, 5.712030838149554 45.18501915044606, 5.712185791650278 45.185691096268954, 5.712470232838877 45.18719237173902, 5.712503861617535 45.1873600318915, 5.712591511600289 45.18777414010605, 5.715372822274011 45.18829843784447, 5.715494901661308 45.18829366608069, 5.71553558019201 45.188291775501476, 5.715573713575673 45.18828994682721, 5.715644933830462 45.18828731316723, 5.715728792229127 45.188282570076716, 5.715732084531486 45.18827167857491, 5.71584524251431 45.18797881947489, 5.715913224850774 45.18788346656472, 5.716109622710674 45.18759939316309, 5.716332489520133 45.18720475934023, 5.716769755671482 45.18629406807961))"
381850110,19.0,Waldeck-Rousseau,Grenoble,"POLYGON ((5.705635201348825 45.18378060703983, 5.7056614672959896 45.184296211919374, 5.706923015597119 45.18414489633304, 5.707838916581417 45.18403799048273, 5.709140448680011 45.18436948782701, 5.709283779495555 45.18446150907732, 5.709559869465335 45.18463769918484, 5.709824557985872 45.18478893895397, 5.710026819100172 45.184887637082085, 5.710081531032336 45.18491243611277, 5.710796831732865 45.185213100197934, 5.711451462671817 45.18547108732256, 5.711886278954718 45.1856362084091, 5.712185791650278 45.185691096268954, 5.712030838149554 45.18501915044606, 5.711914686442229 45.18454266842951, 5.711852380872206 45.18428290743779, 5.71175571275195 45.18381406053982, 5.711644184353957 45.18327530078772, 5.711512983404919 45.18259376837076, 5.711345186467404 45.18170951101047, 5.710371830312528 45.181707926469414, 5.708300669768681 45.18176541241842, 5.707740845187833 45.181779896752246, 5.707502901103173 45.18178566929231, 5.706826674162731 45.18179035954242, 5.7061918628572466 45.181808456606376, 5.705527036189595 45.18183808900212, 5.705534166276793 45.18206405328881, 5.705586558556531 45.18296102526101, 5.705635201348825 45.18378060703983))"
381850111,11.8,Lustucru,Grenoble,"POLYGON ((5.711345186467404 45.18170951101047, 5.711512983404919 45.18259376837076, 5.711644184353957 45.18327530078772, 5.71175571275195 45.18381406053982, 5.711852380872206 45.18428290743779, 5.712946246914112 45.18416803156632, 5.714335209058036 45.18391262834159, 5.716641141498137 45.183442088951274, 5.717160738511098 45.18296725350992, 5.717096123851206 45.18276521196427, 5.716779364217822 45.18188458696849, 5.716653432352225 45.181469611993826, 5.71664238194145 45.18139960695247, 5.715796625569711 45.18137604391641, 5.715655208687805 45.18100919514702, 5.714004211186771 45.180930430586976, 5.713530634482894 45.181094206018564, 5.712175517777866 45.18112714520155, 5.711460247844534 45.18114092102356, 5.711244773213513 45.18113714625235, 5.711229183542571 45.181209600713316, 5.711345186467404 45.18170951101047))"
